index,title,href,body,date
15,"tempo.co on Twitter: ""Membedah Survei Capres dan Elektabilitas Jadi ...",https://twitter.com/tempodotco/status/1610658575139106816,Membedah Survei Capres dan Elektabilitas Jadi Rujukan Pilpres 2024? Pengamat Politik Unpad Bilang Begini https://nasional.tempo.co/read/1675849/membedah-survei-capres ...,1/4/2023
16,"gw emang kadrun on Twitter: ""Ya Jls Lbh baik Yg Tdk Hbi Tnton Bok..Lah ...",https://twitter.com/Sis89370263/status/1610448505973407745,"Tidak Baik Jadi Pemimpin, Buktinya Jateng Sj Predikat Prop Terkismin. Sama-sama Gubernur, Anies Baswedan VS Ganjar Pranowo Siapa yang Paling Baik Kualitas Kerjanya? 04 Jan 2023 01:30:19",1/4/2023
17,"BersamaGanjar on Twitter: ""Pak Ganjar pantas jadi pemimpin 2024 # ...",https://twitter.com/bersama_ganjar/status/1610863835119853569,Pak Ganjar pantas jadi pemimpin 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab #GanjarPilihanJokowi .,1/5/2023
18,"MichelAdam5l5 on Twitter: ""BAGAIMANA SOP PERLISTRIKAN ketika terjadi ...",https://twitter.com/MichelAdam5l5/status/1610806040903450624,"BAGAIMANA SOP PERLISTRIKAN ketika terjadi banjir besar, Pak Banjir Pranowo? Pencegahannya bagaimana? Antisipasinya gimana? Sudah 3 meninggal karena kesetrum saat banjir. Ganjar tak paham urusan kemanusiaan. Ganjar tak layak jadi pemimpin #JokowiSudahGagal #JokowiSudahGagal . 05 Jan 2023 01:11:02",1/5/2023
19,"Rani soraya on Twitter: ""KAMPANYE BERBUSA-BUSA SANA SINI, ELEKTABILITAS ...",https://twitter.com/Ranisor/status/1611131918325809152,"kampanye berbusa-busa sana sini, elektabilitas anies malah jatuh - ganjar dan prabowo naik. translate tweet. 2:19. 197 views. 10:45 pm · jan 5, ...",1/5/2023
20,Ganjar Pranowo on Twitter,https://twitter.com/ganjarpranowo/status/1611551434163781635,"""Alhamdulillah diberi kesempatan menziarahi guru bangsa, tauladan kita semua KH. Maimoen Zubair di pemakaman Ma'la Makkatul Mukarromah. Di sini pula dimakamkan kakek, ibunda, istri, putra dan para sahabat Rasullullah.""",1/7/2023
21,PDIP Kemungkinan Gelar Survei Khusus Soal Usulan Mega Capres 2024 - Twitter,https://twitter.com/CNNIndonesia/status/1612089691645579264,PDIP Kemungkinan Gelar Survei Khusus Soal Usulan Mega Capres 2024. 08 Jan 2023 14:11:48 PDIP Kemungkinan Gelar Survei Khusus Soal Usulan Mega Capres 2024 ... PDIP Kemungkinan Gelar Survei Khusus Soal Usulan Mega Capres 2024. 08 Jan 2023 14:11:48 ...,1/8/2023
22,"ceriaselalu😍🇮🇩 on Twitter: ""Indeks kebahagiaan tdk hanya tergantung ...",https://twitter.com/siticeriaselalu/status/1611902379179528192,"Indeks kebahagiaan tdk hanya tergantung pendapatan per kapita tetapi sentuhan hangat Pemimpin nya beserta seluruh upaya sang Gubernur memakmurkan warga nya Aplgi GANJAR PRANOWO selalu menemui mereka, baik ketika bencana maupun menyerahkn bantuan RTLH demi menekn angka kemiskinan . 08 Jan 2023 01:47:29",1/8/2023
23,"Relawan Ganjar JBI🏋🏻‍♀️ on Twitter: ""Ganjar sosok pemimpin yang dekat ...",https://twitter.com/ganjar_jbi/status/1612329637929009153,"""Ganjar sosok pemimpin yang dekat dengan rakyat #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab""",1/9/2023
24,"SERUAN H7 on Twitter: ""Kalau bicara tentang prestasi maka Ganjar ...",https://twitter.com/seruanhl/status/1612264185555214336,"Kalau bicara tentang prestasi maka Ganjar Pranowo dan Erick Thohir adalah dua sosok pemimpin yang memiliki segudang prestasi. Karenanya, pasangan Ganjar - Erick dinilai sebagai pasangan yang cocok untuk maju di Pilpres 2024. Cc. @erickthohir #BangkitBersamaET . 09 Jan 2023 01:45:10",1/9/2023
25,"Zackary Heffner on Twitter: ""pemimpin idaman pak ganjar #ganjarpranowo ...",https://twitter.com/wisacopt/status/1612344100136824833,"""pemimpin idaman pak ganjar #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab""",1/9/2023
