index,title,href,body,date
16,Presiden Jokowi malam minggu bersama keluarga di Malioboro. - Instagram,https://www.instagram.com/p/CnI7AT8I3TC/,ganjarsahabatrakyat • Original audio,1/7/2023
17,"@ganjar_official.88 on Instagram: ""Ganjar pemimpin dengan ide ide…""",https://www.instagram.com/p/CnJL-GiLVwH/,"10.1k Likes, 33 Comments - @ganjar_official.88 on Instagram: ""Ganjar pemimpin dengan ide ide hebat #ganjarpranowo #ganjar_pranowo #ganjarkita…""",1/8/2023
18,"Remaja Sosmed on Instagram: ""GBB Banten Siap Bantu Menangkan Ganjar di ...",https://www.instagram.com/p/CnLumPKrlgi/,"9,963 Likes, 49 Comments - Remaja Sosmed (@remajasosmed1) on Instagram: ""GBB Banten Siap Bantu Menangkan Ganjar di Pilpres 2024. #ganjarpranowo #ganjar_pranowo #ganjarkita…""",1/8/2023
19,Presiden Jokowi malam minggu bersama keluarga di Malioboro. - Instagram,https://www.instagram.com/p/CnI7AT8I3TC/,ganjarsahabatrakyat • Original audio,1/8/2023
20,lomba_online - Instagram,https://www.instagram.com/p/CnOeDDJydXA/,"Sebagai persyaratan untuk mengikuti Lomba Hackathon dari Sahabat Ganjar yaitu:-Peserta merupakan mahasiswa/i aktif setingkat D3/D4/S1-Setiap Universitas boleh mengirimkan lebih dari 1 Tim, (Setiap timnya beranggotakan 3 orang)-Peserta wajib mengikuti Seminar Jika kamu ingin informasi tambahan, kalian bisa menghubungi Whatsapp: Admin 1: 0899 ...",1/9/2023
21,"Remaja Sosmed on Instagram: ""GBB Banten Siap Bantu Menangkan Ganjar di ...",https://www.instagram.com/p/CnLumPKrlgi/,"9,963 Likes, 49 Comments - Remaja Sosmed (@remajasosmed1) on Instagram: ""GBB Banten Siap Bantu Menangkan Ganjar di Pilpres 2024. #ganjarpranowo #ganjar_pranowo #ganjarkita…""",1/9/2023
22,"Jian Jumir on Instagram: ""Ganjar pemimpin yang dekat dengan rakyat # ...",https://www.instagram.com/p/CnOPRJKLg4D/,"0 Likes, 0 Comments - Jian Jumir (@jianjumir) on Instagram: ""Ganjar pemimpin yang dekat dengan rakyat #ganjarpranowo #ganjar_pranowo #ganjarkita…""",1/9/2023
23,"GANJAR SAHABAT RAKYAT on Instagram: ""Presiden Joko Widodo dan PM ...",https://www.instagram.com/p/CnQGAV1h_Lz/,"23 Likes, 0 Comments - GANJAR SAHABAT RAKYAT (@ganjarsahabatrakyat) on Instagram: ""Presiden Joko Widodo dan PM Malaysia Anwar Ibrahim sepakat bekerja sama memerangi diskriminasi…""",1/9/2023
24,lomba_online - Instagram,https://www.instagram.com/p/CnOeDDJydXA/,"Sebagai persyaratan untuk mengikuti Lomba Hackathon dari Sahabat Ganjar yaitu:-Peserta merupakan mahasiswa/i aktif setingkat D3/D4/S1-Setiap Universitas boleh mengirimkan lebih dari 1 Tim, (Setiap timnya beranggotakan 3 orang)-Peserta wajib mengikuti Seminar Jika kamu ingin informasi tambahan, kalian bisa menghubungi Whatsapp: Admin 1: 0899 ...",1/10/2023
25,"Jian Jumir on Instagram: ""Ganjar pemimpin yang dekat dengan rakyat # ...",https://www.instagram.com/p/CnOPRJKLg4D/,"0 Likes, 0 Comments - Jian Jumir (@jianjumir) on Instagram: ""Ganjar pemimpin yang dekat dengan rakyat #ganjarpranowo #ganjar_pranowo #ganjarkita…""",1/10/2023
26,"GANJAR SAHABAT RAKYAT on Instagram: ""Presiden Joko Widodo dan PM ...",https://www.instagram.com/p/CnQGAV1h_Lz/,"23 Likes, 0 Comments - GANJAR SAHABAT RAKYAT (@ganjarsahabatrakyat) on Instagram: ""Presiden Joko Widodo dan PM Malaysia Anwar Ibrahim sepakat bekerja sama memerangi diskriminasi…""",1/10/2023
27,"Fix Ganjar on Instagram: ""Pemimpin bijaksana jadi panutan kaum pemuda",https://www.instagram.com/p/CnS_E7DStCs/,"20 Likes, 0 Comments - Fix Ganjar (@fixganjar) on Instagram: ""Pemimpin bijaksana jadi panutan kaum pemuda. . . . . . . . . . . . . . . . . #ganjar #jokowidodo…""",1/11/2023
28,lensa_ganjar on Instagram: Pak Ganjar Suami dan Pemimpin Idaman,https://www.instagram.com/p/CnTHbNYor3N/,Meghan Trainor • Made You Look (Joel Corry Remix) | 🇮🇩• Effect,1/11/2023
